"Zip.Code","Incidence","Year"
95336,140,2014
95337,129.1,2014
95340,184.9,2014
95341,132.4,2014
95348,137.1,2014
95350,126.6,2014
95351,113.8,2014
95354,144.3,2014
95355,87,2014
95356,68.6,2014
95357,88.5,2014
95358,102.6,2014
95360,74,2014
95361,86.3,2014
95363,104.5,2014
95366,61.6,2014
95367,87.4,2014
95368,63.4,2014
95370,89.7,2014
95376,105.2,2014
95377,47.4,2014
95380,128,2014
95382,57.5,2014
95386,62,2014
95388,109.2,2014
95391,62.9,2014
95401,89.1,2014
95403,75.5,2014
95404,46.1,2014
95405,64,2014
95407,72.1,2014
95409,32.3,2014
95422,80.9,2014
95437,91.8,2014
95448,47.5,2014
95451,103.8,2014
95472,29.5,2014
95476,28.4,2014
95482,91.8,2014
95490,66.5,2014
95492,26.2,2014
95501,78,2014
95503,53.3,2014
95519,42.2,2014
95521,85.8,2014
95531,80.3,2014
95540,56.1,2014
95602,39,2014
95603,42,2014
95605,70.6,2014
95608,89.3,2014
95610,60.7,2014
95616,49.1,2014
95618,26.6,2014
95620,110.3,2014
95621,68.9,2014
95624,70.9,2014
95628,71.8,2014
95630,25.5,2014
95632,58.1,2014
95648,34.6,2014
95660,112.8,2014
95661,40,2014
95662,81,2014
95667,59.4,2014
95670,78.9,2014
95673,101.3,2014
95677,68.1,2014
95678,58.9,2014
95682,39.9,2014
95687,85.2,2014
95688,100.2,2014
95691,61.2,2014
95694,79,2014
95695,68.7,2014
95726,83.1,2014
95746,28.7,2014
95747,39,2014
95757,64.6,2014
95758,59,2014
95762,36.9,2014
95765,24.7,2014
95776,60.1,2014
95815,135.3,2014
95817,127.5,2014
95818,115.3,2014
95820,111.6,2014
95821,132.8,2014
95822,115.5,2014
95823,148.8,2014
95824,118.5,2014
95825,160.5,2014
95826,108.7,2014
95827,56.7,2014
95828,85.1,2014
95829,59.5,2014
95831,63.4,2014
95832,151.1,2014
95833,102.3,2014
95834,117.4,2014
95835,80.7,2014
95838,145.1,2014
95841,152,2014
95842,93.7,2014
95843,60.1,2014
95864,69.3,2014
95901,38.9,2014
95926,68.8,2014
95928,54.9,2014
95932,67.6,2014
95945,31.7,2014
95948,88.1,2014
95949,46.9,2014
95953,77.9,2014
95959,41.4,2014
95961,41.3,2014
95963,46,2014
95965,99.5,2014
95966,108.2,2014
95969,38.9,2014
95973,25.4,2014
95987,59.7,2014
95988,69.1,2014
95991,56.3,2014
95993,27,2014
96001,65.4,2014
96002,100.6,2014
96003,74.1,2014
96007,71.4,2014
96019,122.3,2014
96021,53.2,2014
96022,71.1,2014
96080,108.9,2014
96097,87.8,2014
96130,80.9,2014
96150,32,2014
90001,103.1,2014
90002,131.3,2014
90003,138.5,2014
90004,101.9,2014
90005,65.6,2014
90006,101.3,2014
90007,122.6,2014
90008,146.6,2014
90011,103.9,2014
90012,69.1,2014
90015,137.2,2014
90016,144.7,2014
90017,111,2014
90018,107.8,2014
90019,109.3,2014
90020,66.8,2014
90022,84.7,2014
90023,115.7,2014
90025,21,2014
90026,106.8,2014
90027,41.2,2014
90028,126.5,2014
90029,82,2014
90031,86.4,2014
90032,95.5,2014
90033,127.9,2014
90034,56.6,2014
90035,39,2014
90036,34.5,2014
90037,129.9,2014
90038,120.9,2014
90039,57.6,2014
90040,125.8,2014
90041,50.5,2014
90042,77.6,2014
90043,178.9,2014
90044,165.5,2014
90045,62,2014
90046,38.8,2014
90047,182,2014
90057,104.4,2014
90059,153.6,2014
90061,135.1,2014
90062,171.7,2014
90063,83.9,2014
90065,85.9,2014
90066,44.2,2014
90201,69.7,2014
90220,143,2014
90221,129.6,2014
90222,131.1,2014
90230,56.3,2014
90232,45,2014
90240,61.1,2014
90241,77.2,2014
90242,80.9,2014
90247,109,2014
90248,91.8,2014
90249,101.2,2014
90250,137.3,2014
90255,83.5,2014
90260,136.4,2014
90262,77.5,2014
90266,22.3,2014
90270,69,2014
90272,29.6,2014
90275,25,2014
90277,42.7,2014
90278,41,2014
90280,74.8,2014
90291,40.1,2014
90301,133.6,2014
90302,124,2014
90303,128.8,2014
90304,139.8,2014
90305,143.2,2014
90404,79,2014
90405,48.1,2014
90501,104.8,2014
90502,73.1,2014
90503,45.9,2014
90504,72.8,2014
90505,43.7,2014
90601,99.7,2014
90602,101.7,2014
90603,65.1,2014
90604,93.3,2014
90605,117.7,2014
90606,91.5,2014
90620,62.9,2014
90621,72.8,2014
90623,63.3,2014
