"Year","Month","COUNTY","Date","NO2","O3","PM2.5"
2015,11,"Stanislaus",2015-11-01,17,26.2,67.75
2015,11,"Calaveras",2015-11-01,NA,31.3333333333333,29.6666666666667
2015,12,"Imperial",2015-12-01,28.2857142857143,30.6363636363636,58.625
2015,12,"Los Angeles",2015-12-01,36.25,27.55,39.0285714285714
2015,12,"Marin",2015-12-01,26.5,19,31.4
2015,12,"San Bernardino",2015-12-01,29.9259259259259,31.5833333333333,38.4736842105263
2015,12,"San Francisco",2015-12-01,32,14.3333333333333,36
2015,12,"San Mateo",2015-12-01,19.5,19.5,16.3333333333333
2015,12,"Santa Clara",2015-12-01,28.7142857142857,27.3333333333333,39
2015,12,"Stanislaus",2015-12-01,24.6666666666667,24.8333333333333,83
2015,12,"Calaveras",2015-12-01,NA,30,42
2016,1,"Imperial",2016-01-01,24.3333333333333,32.5,49.5454545454545
2016,1,"Los Angeles",2016-01-01,33.1136363636364,25.7,44.7826086956522
2016,1,"Marin",2016-01-01,21,23.25,33.5
2016,1,"San Bernardino",2016-01-01,30.4285714285714,31.6923076923077,38.6086956521739
2016,1,"San Francisco",2016-01-01,29,19.3333333333333,28
2016,1,"San Mateo",2016-01-01,23,33.75,16.5
2016,1,"Santa Clara",2016-01-01,26.6666666666667,27.6666666666667,28.9166666666667
2016,1,"Stanislaus",2016-01-01,18.3333333333333,21,58.125
2016,1,"Calaveras",2016-01-01,NA,28.25,30
2016,2,"Imperial",2016-02-01,32.1666666666667,41.3846153846154,41.625
2016,2,"Los Angeles",2016-02-01,39.3111111111111,41.85,41.0238095238095
2016,2,"Marin",2016-02-01,21.6666666666667,28.6666666666667,30
2016,2,"San Bernardino",2016-02-01,39.92,47.6969696969697,40.3636363636364
2016,2,"San Francisco",2016-02-01,33,22.6666666666667,40.5
2016,2,"San Mateo",2016-02-01,26.3333333333333,30,36.5
2016,2,"Santa Clara",2016-02-01,30.375,26.6666666666667,38.9
2016,2,"Stanislaus",2016-02-01,23.3333333333333,33,66.8571428571429
2016,2,"Calaveras",2016-02-01,NA,35.3333333333333,38.3333333333333
2016,3,"Imperial",2016-03-01,25.5,46.9090909090909,44.1111111111111
2016,3,"Los Angeles",2016-03-01,24.1666666666667,44.8222222222222,45.5
2016,3,"Marin",2016-03-01,15.25,34.6666666666667,21
2016,3,"San Bernardino",2016-03-01,32.0384615384615,56.4,44.6666666666667
2016,3,"San Francisco",2016-03-01,18.5,29.5,22.3333333333333
2016,3,"San Mateo",2016-03-01,15,33,22.6666666666667
2016,3,"Santa Clara",2016-03-01,18,32.25,26.0909090909091
2016,3,"Stanislaus",2016-03-01,12.75,32.1428571428571,30.7142857142857
2016,3,"Calaveras",2016-03-01,NA,36,36.25
2016,4,"Imperial",2016-04-01,10.6666666666667,48.2857142857143,43.2222222222222
2016,4,"Los Angeles",2016-04-01,25.6222222222222,48.609756097561,37.8888888888889
2016,4,"Marin",2016-04-01,17.6666666666667,33,22.6666666666667
2016,4,"San Bernardino",2016-04-01,26.8518518518519,60.0833333333333,34.1363636363636
2016,4,"San Francisco",2016-04-01,31.3333333333333,33.6666666666667,41.6666666666667
2016,4,"San Mateo",2016-04-01,21.6666666666667,39.3333333333333,36
2016,4,"Santa Clara",2016-04-01,22.1666666666667,40.4166666666667,27.1666666666667
2016,4,"Stanislaus",2016-04-01,9,50.1666666666667,35.2857142857143
2016,4,"Calaveras",2016-04-01,NA,39.75,22.6666666666667
2016,5,"Imperial",2016-05-01,8.16666666666667,59.1538461538462,33.3
2016,5,"Los Angeles",2016-05-01,14.1162790697674,43.4186046511628,35.4651162790698
2016,5,"Marin",2016-05-01,11.25,32,31
2016,5,"San Bernardino",2016-05-01,22.5,70,38.12
2016,5,"San Francisco",2016-05-01,11,28.75,42.25
2016,5,"San Mateo",2016-05-01,8.66666666666667,34.25,38
2016,5,"Santa Clara",2016-05-01,15.125,31.5384615384615,35.3
2016,5,"Stanislaus",2016-05-01,13.25,49.8571428571429,34.25
2016,5,"Calaveras",2016-05-01,NA,41.3333333333333,22
2016,6,"Imperial",2016-06-01,11.5,51.7692307692308,54.6666666666667
2016,6,"Los Angeles",2016-06-01,21.3,70.4318181818182,51.6744186046512
2016,6,"Marin",2016-06-01,10.6666666666667,32.3333333333333,26.5
2016,6,"San Bernardino",2016-06-01,27,114.194444444444,44.0476190476191
2016,6,"San Francisco",2016-06-01,18.3333333333333,23.6666666666667,19.3333333333333
2016,6,"San Mateo",2016-06-01,14,26.3333333333333,51
2016,6,"Santa Clara",2016-06-01,14.5,40.7142857142857,32
2016,6,"Stanislaus",2016-06-01,14,58.5,25.7142857142857
2016,6,"Calaveras",2016-06-01,NA,74,23.25
2016,7,"Imperial",2016-07-01,13.1666666666667,57,52.8
2016,7,"Los Angeles",2016-07-01,18.9777777777778,67.7857142857143,51.5111111111111
2016,7,"Marin",2016-07-01,7.66666666666667,22.25,34.5
2016,7,"San Bernardino",2016-07-01,26.2666666666667,117.024390243902,47.1111111111111
2016,7,"San Francisco",2016-07-01,7.25,22,18.75
